"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"72","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","297","33","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"73","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","309","20","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"74","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","309","20","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"75","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","311","20","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"76","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","311","20","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"77","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","315","24","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"78","1","1","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","315","24","MethodNamingConventions","The static method name 'getRepoPublicKey_Test' doesn't match '[a-z][a-zA-Z0-9]*'","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"79","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","320","30","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"80","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","329","20","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"81","3","3","/home/runner/work/nkn_final/nkn_final/force-app/main/default/classes/GitRESTCallouts.cls","329","20","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.55.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
